leg,journee,date,hour,match,win_type,score,available,winner
Second Leg,,28 mars 2026,Live,Fribourg - Rapperswil,Regular Time,2 - 2,no,
Second Leg,,1 avril 2026,Terminé,Geneve - Lausanne,Regular Time,1 - 0,no,Geneve
Second Leg,,23 mars 2026,Terminé,Lausanne - Geneve,Regular Time,5 - 1,no,Lausanne
Second Leg,,21 mars 2026,Terminé,Geneve - Lausanne,Regular Time,2 - 5,no,Lausanne
Second Leg,,27 mars 2026,Terminé,Lausanne - Geneve,Regular Time,2 - 4,no,Geneve
Second Leg,,25 mars 2026,Terminé,Geneve - Lausanne,Regular Time,2 - 3,no,Lausanne
Second Leg,,31 mars 2026,Terminé,Lausanne - Geneve,Extra Time,3 - 4,no,Geneve
Second Leg,,29 mars 2026,20:00,Geneve - Lausanne,Regular Time,No Score,yes,
Second Leg,,2 avril 2026,Terminé,Zurich - Lugano,Regular Time,3 - 0,no,Zurich
Second Leg,,23 mars 2026,Terminé,Lugano - Zurich,Regular Time,4 - 5,no,Zurich
Second Leg,,21 mars 2026,Terminé,Zurich - Lugano,Regular Time,4 - 0,no,Zurich
Second Leg,,27 mars 2026,Terminé,Lugano - Zurich,Regular Time,1 - 2,no,Zurich
Second Leg,,20 mars 2026,Terminé,Davos - Zoug,Regular Time,4 - 3,no,Davos
Second Leg,,22 mars 2026,Terminé,Zoug - Davos,Regular Time,0 - 2,no,Davos
Second Leg,,24 mars 2026,Terminé,Davos - Zoug,Regular Time,7 - 3,no,Davos
Second Leg,,26 mars 2026,Terminé,Zoug - Davos,Regular Time,5 - 2,no,Zoug
Second Leg,,28 mars 2026,Terminé,Davos - Zoug,Regular Time,4 - 1,no,Davos
Second Leg,,28 mars 2026,Terminé,Fribourg - Rapperswil,Regular Time,2 - 5,no,Rapperswil
Second Leg,,22 mars 2026,Terminé,Rapperswil - Fribourg,Regular Time,2 - 1,no,Rapperswil
Second Leg,,20 mars 2026,Terminé,Fribourg - Rapperswil,Regular Time,4 - 0,no,Fribourg
Second Leg,,26 mars 2026,Terminé,Rapperswil - Fribourg,Regular Time,2 - 6,no,Fribourg
Second Leg,,24 mars 2026,Terminé,Fribourg - Rapperswil,Regular Time,1 - 2,no,Rapperswil
Second Leg,,30 mars 2026,Terminé,Rapperswil - Fribourg,Regular Time,1 - 3,no,Fribourg
Second Leg,,28 mars 2026,Live,Fribourg - Rapperswil,Regular Time,2 - 2,no,
Second Leg,,1 avril 2026,Terminé,Geneve - Lausanne,Regular Time,1 - 0,no,Geneve
Second Leg,,23 mars 2026,Terminé,Lausanne - Geneve,Regular Time,5 - 1,no,Lausanne
Second Leg,,21 mars 2026,Terminé,Geneve - Lausanne,Regular Time,2 - 5,no,Lausanne
Second Leg,,27 mars 2026,Terminé,Lausanne - Geneve,Regular Time,2 - 4,no,Geneve
Second Leg,,25 mars 2026,Terminé,Geneve - Lausanne,Regular Time,2 - 3,no,Lausanne
Second Leg,,31 mars 2026,Terminé,Lausanne - Geneve,Extra Time,3 - 4,no,Geneve
Second Leg,,29 mars 2026,20:00,Geneve - Lausanne,Regular Time,No Score,yes,
Second Leg,,2 avril 2026,Terminé,Zurich - Lugano,Regular Time,3 - 0,no,Zurich
Second Leg,,23 mars 2026,Terminé,Lugano - Zurich,Regular Time,4 - 5,no,Zurich
Second Leg,,21 mars 2026,Terminé,Zurich - Lugano,Regular Time,4 - 0,no,Zurich
Second Leg,,27 mars 2026,Terminé,Lugano - Zurich,Regular Time,1 - 2,no,Zurich
Second Leg,,20 mars 2026,Terminé,Davos - Zoug,Regular Time,4 - 3,no,Davos
Second Leg,,22 mars 2026,Terminé,Zoug - Davos,Regular Time,0 - 2,no,Davos
Second Leg,,24 mars 2026,Terminé,Davos - Zoug,Regular Time,7 - 3,no,Davos
Second Leg,,26 mars 2026,Terminé,Zoug - Davos,Regular Time,5 - 2,no,Zoug
Second Leg,,28 mars 2026,Terminé,Davos - Zoug,Regular Time,4 - 1,no,Davos
Second Leg,,28 mars 2026,Terminé,Fribourg - Rapperswil,Regular Time,2 - 5,no,Rapperswil
Second Leg,,22 mars 2026,Terminé,Rapperswil - Fribourg,Regular Time,2 - 1,no,Rapperswil
Second Leg,,20 mars 2026,Terminé,Fribourg - Rapperswil,Regular Time,4 - 0,no,Fribourg
Second Leg,,26 mars 2026,Terminé,Rapperswil - Fribourg,Regular Time,2 - 6,no,Fribourg
Second Leg,,24 mars 2026,Terminé,Fribourg - Rapperswil,Regular Time,1 - 2,no,Rapperswil
Second Leg,,30 mars 2026,Terminé,Rapperswil - Fribourg,Regular Time,1 - 3,no,Fribourg
Second Leg,,28 mars 2026,Live,Fribourg - Rapperswil,Regular Time,2 - 2,no,
Second Leg,,1 avril 2026,Terminé,Geneve - Lausanne,Regular Time,1 - 0,no,Geneve
Second Leg,,23 mars 2026,Terminé,Lausanne - Geneve,Regular Time,5 - 1,no,Lausanne
Second Leg,,21 mars 2026,Terminé,Geneve - Lausanne,Regular Time,2 - 5,no,Lausanne
Second Leg,,27 mars 2026,Terminé,Lausanne - Geneve,Regular Time,2 - 4,no,Geneve
Second Leg,,25 mars 2026,Terminé,Geneve - Lausanne,Regular Time,2 - 3,no,Lausanne
Second Leg,,31 mars 2026,Terminé,Lausanne - Geneve,Extra Time,3 - 4,no,Geneve
Second Leg,,29 mars 2026,20:00,Geneve - Lausanne,Regular Time,No Score,yes,
Second Leg,,2 avril 2026,Terminé,Zurich - Lugano,Regular Time,3 - 0,no,Zurich
Second Leg,,23 mars 2026,Terminé,Lugano - Zurich,Regular Time,4 - 5,no,Zurich
Second Leg,,21 mars 2026,Terminé,Zurich - Lugano,Regular Time,4 - 0,no,Zurich
Second Leg,,27 mars 2026,Terminé,Lugano - Zurich,Regular Time,1 - 2,no,Zurich
Second Leg,,20 mars 2026,Terminé,Davos - Zoug,Regular Time,4 - 3,no,Davos
Second Leg,,22 mars 2026,Terminé,Zoug - Davos,Regular Time,0 - 2,no,Davos
Second Leg,,24 mars 2026,Terminé,Davos - Zoug,Regular Time,7 - 3,no,Davos
Second Leg,,26 mars 2026,Terminé,Zoug - Davos,Regular Time,5 - 2,no,Zoug
Second Leg,,28 mars 2026,Terminé,Davos - Zoug,Regular Time,4 - 1,no,Davos
Second Leg,,28 mars 2026,Terminé,Fribourg - Rapperswil,Regular Time,2 - 5,no,Rapperswil
Second Leg,,22 mars 2026,Terminé,Rapperswil - Fribourg,Regular Time,2 - 1,no,Rapperswil
Second Leg,,20 mars 2026,Terminé,Fribourg - Rapperswil,Regular Time,4 - 0,no,Fribourg
Second Leg,,26 mars 2026,Terminé,Rapperswil - Fribourg,Regular Time,2 - 6,no,Fribourg
Second Leg,,24 mars 2026,Terminé,Fribourg - Rapperswil,Regular Time,1 - 2,no,Rapperswil
Second Leg,,30 mars 2026,Terminé,Rapperswil - Fribourg,Regular Time,1 - 3,no,Fribourg
Second Leg,,28 mars 2026,Live,Fribourg - Rapperswil,Regular Time,2 - 2,no,
Second Leg,,1 avril 2026,Terminé,Geneve - Lausanne,Regular Time,1 - 0,no,Geneve
Second Leg,,23 mars 2026,Terminé,Lausanne - Geneve,Regular Time,5 - 1,no,Lausanne
Second Leg,,21 mars 2026,Terminé,Geneve - Lausanne,Regular Time,2 - 5,no,Lausanne
Second Leg,,27 mars 2026,Terminé,Lausanne - Geneve,Regular Time,2 - 4,no,Geneve
Second Leg,,25 mars 2026,Terminé,Geneve - Lausanne,Regular Time,2 - 3,no,Lausanne
Second Leg,,31 mars 2026,Terminé,Lausanne - Geneve,Extra Time,3 - 4,no,Geneve
Second Leg,,29 mars 2026,20:00,Geneve - Lausanne,Regular Time,No Score,yes,
Second Leg,,2 avril 2026,Terminé,Zurich - Lugano,Regular Time,3 - 0,no,Zurich
Second Leg,,23 mars 2026,Terminé,Lugano - Zurich,Regular Time,4 - 5,no,Zurich
Second Leg,,21 mars 2026,Terminé,Zurich - Lugano,Regular Time,4 - 0,no,Zurich
Second Leg,,27 mars 2026,Terminé,Lugano - Zurich,Regular Time,1 - 2,no,Zurich
